Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_10q_yhr	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_117_vqq	2	2	0	4	2	5	3	0	0	4	7	3	0	16	2	0	7	4	0	1	12	1	0	1	0	1	6	5	8	1	1	8	1	0
ASV_120_gvt	2	1	2	3	0	1	3	0	0	2	9	1	0	4	1	0	1	0	0	1	4	0	0	0	0	3	5	7	2	0	6	3	8	0
ASV_12c_sr9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12t_5j3	0	0	1	0	0	5	0	0	7	0	0	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13d_0rp	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV_16n_mtu	0	2	4	1	3	0	0	5	0	1	7	6	0	0	0	1	3	0	0	0	4	2	0	1	0	1	1	1	0	2	1	1	3	0
ASV_16t_ai5	1	3	0	3	0	0	1	0	0	0	3	7	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0
ASV_190_vbz	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
ASV_19v_zp0	1	0	11	0	0	1	0	1	32	2	3	2	30	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
ASV_19x_mzf	0	1	0	0	0	0	1	2	0	1	0	5	0	1	5	1	0	0	0	2	1	1	0	0	0	10	2	0	0	6	0	2	2	0
ASV_1ab_af4	0	0	29	0	0	0	0	0	77	6	1	3	154	0	1	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	0	0	0
ASV_1ac_5tj	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	6	7	0
ASV_1br_j3i	0	0	8	0	0	0	0	0	70	0	0	0	62	0	0	2	0	9	0	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0
ASV_1c6_j8g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0
ASV_1cy_adz	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1d0_zt3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	3	0	0	0	0	0
ASV_1dv_xtl	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1e6_rpu	0	0	9	0	0	0	0	0	62	0	2	0	96	0	0	0	0	2	0	0	0	0	0	0	0	0	24	0	0	0	18	0	0	0
ASV_1e9_fjp	5	1	1	0	0	0	0	0	0	1	1	7	0	1	0	1	12	34	6	0	1	3	12	0	0	0	0	11	78	82	67	27	51	0
ASV_1f2_zg8	0	0	1	1	0	1	0	0	0	2	14	2	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV_1hi_uu6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0
